year,GEO_ID2,REGION,STATEABBR,GEO_NAME,MAPNAME,PRIMARY_LA,PRIMARY_LO,TOTPOP,LabFrc,HsChr,Pvrty,PopCom,PerDis,HsDis,RetMig,UrbSpl,ComEng,ComRel,RecEng,RecRel,SLR,SSR,LabFrc_ct,HsChr_ct,Pvrty_ct,PopCom_ct,PerDis_ct,HsDis_ct,RetMig_ct,UrbSpl_ct,ComEng_ct,ComRel_ct,RecEng_ct,RecRel_ct,SLR_ct,SSR_ct
2014,1200075,Southeast,FL,Acacia Villas_FL,Acacia Villas,26.6458282,-80.1104708,614,-0.601,.,0.719,3.673,0.483,.,-1.628,0.197,-0.158,-0.129,-0.26,-0.185,-0.221,.,1,0,3,4,2,0,1,2,1,1,1,1,1,0
2014,1200800,Southeast,FL,Allentown_FL,Allentown,30.7704889,-87.0844279,990,0.513,0.366,-0.94,-0.555,-0.913,.,0.809,-0.856,-0.158,-0.129,-0.26,-0.185,-0.221,.,3,2,1,1,1,0,3,1,1,1,1,1,1,0
2014,1201125,Southeast,FL,Alva_FL,Alva,26.721632,-81.6236735,2040,0.783,0.473,-0.84,-1.077,-0.221,-0.758,1.24,-0.81,-0.06,-0.044,-0.26,-0.185,0.117,0.202,3,2,1,1,1,1,4,1,1,1,1,1,2,2
2014,1201353,Southeast,FL,Andrews_FL,Andrews,29.5481748,-82.8879972,1198,-0.848,2.589,-0.511,-0.392,2.007,-0.845,-0.696,-1.169,-0.158,-0.129,-0.26,-0.185,-0.221,.,1,4,1,1,4,1,1,1,1,1,1,1,1,0
2014,1201475,Southeast,FL,Anna Maria_FL,Anna Maria,27.5311474,-82.7334334,1219,1.736,-0.107,-0.893,-1.218,-0.844,0.255,1.952,0.019,-0.039,0.026,1.611,2.567,0.057,-0.237,4,1,1,1,1,2,4,2,1,2,4,4,2,1
2014,1201625,Southeast,FL,Apalachicola_FL,Apalachicola,29.7257675,-84.9832435,2129,0.059,0.933,0.854,-0.032,0.646,-0.117,0.02,-1.379,0.65,0.404,0.609,1.051,-0.141,-0.198,2,3,3,1,3,1,2,1,3,2,3,4,1,1
2014,1201675,Southeast,FL,Apollo Beach_FL,Apollo Beach,27.7732948,-82.408147,15648,-0.231,-0.266,-0.439,-0.363,-0.415,-0.865,-0.251,.,-0.154,-0.129,0.871,-0.051,1.066,0.814,1,1,1,1,1,1,1,0,1,1,3,1,4,3
2014,1201875,Southeast,FL,Aripeka_FL,Aripeka,28.4293308,-82.6682731,152,1.126,.,-1.134,-0.925,0.661,.,0.652,-0.716,-0.074,0.901,-0.009,2.772,-0.099,-0.247,4,0,1,1,3,0,3,1,1,3,1,4,1,1
2014,1202275,Southeast,FL,Astor_FL,Astor,29.1663029,-81.5348729,1444,1.947,2.317,0.115,-0.412,1.359,-2.021,1.721,-1.07,-0.158,-0.129,-0.26,-0.185,.,-0.2,4,4,2,1,4,1,4,1,1,1,1,1,0,1
2014,1202400,Southeast,FL,Atlantic Beach_FL,Atlantic Beach,30.3344077,-81.398696,12840,-0.387,-0.053,-0.276,-0.439,-0.492,0.303,-0.221,-0.157,0.181,-0.083,-0.26,-0.185,-0.044,-0.103,1,1,1,1,1,2,1,1,2,1,1,1,1,1
2014,1202500,Southeast,FL,Atlantis_FL,Atlantis,26.5909025,-80.1008762,2063,1.814,-0.616,-0.905,-0.727,-0.945,-0.832,2.242,-0.061,-0.158,-0.129,-0.26,-0.185,-0.22,-0.308,4,1,1,1,1,1,4,1,1,1,1,1,1,1
2014,1202575,Southeast,FL,Aucilla_FL,Aucilla,30.4770279,-83.7603995,106,3.343,.,4.47,0.239,5.374,.,3.678,.,-0.158,-0.129,-0.26,-0.185,.,.,4,0,4,2,4,0,4,0,1,1,1,1,0,0
2014,1202660,Southeast,FL,Avalon_FL,Avalon,30.535656,-87.0914818,620,-0.639,.,-0.645,-0.116,-0.122,.,-0.098,-0.743,-0.158,-0.129,-0.26,-0.185,0.058,-0.068,1,0,1,1,1,0,1,1,1,1,1,1,2,1
2014,1202681,Southeast,FL,Aventura_FL,Aventura,25.9564812,-80.1392121,36979,0.69,-0.221,-0.077,0.41,-0.387,-0.663,0.285,1.04,-0.158,-0.129,-0.26,-0.185,0.169,-0.179,3,1,1,2,1,1,2,4,1,1,1,1,2,1
2014,1202925,Southeast,FL,Bagdad_FL,Bagdad,30.5988048,-87.0310767,3827,0.767,1.088,0.208,-0.122,0.656,-0.022,0.557,-0.802,-0.158,-0.129,-0.26,-0.185,-0.168,-0.274,3,4,2,1,3,1,3,1,1,1,1,1,1,1
2014,1203250,Southeast,FL,Baldwin_FL,Baldwin,30.30495,-81.9739388,1822,0.124,1.012,0.77,0.067,1.533,0.355,-0.009,-0.951,-0.158,-0.129,-0.26,-0.185,-0.221,.,2,4,3,2,4,2,1,1,1,1,1,1,1,0
2014,1203275,Southeast,FL,Bal Harbour_FL,Bal Harbour,25.8917613,-80.1269896,2605,1.038,-0.881,0.046,0.797,-0.432,-2.008,0.77,1.21,-0.158,-0.129,-0.26,-0.185,-0.153,-0.279,4,1,2,3,1,1,3,4,1,1,1,1,1,1
2014,1203375,Southeast,FL,Balm_FL,Balm,27.753037,-82.2894661,1688,-0.236,0.882,0.155,0.617,1.302,.,-0.963,-0.719,-0.158,-0.129,-0.26,-0.185,-0.221,.,1,3,2,3,4,0,1,1,1,1,1,1,1,0
2014,1203480,Southeast,FL,Bardmoor_FL,Bardmoor,27.8560832,-82.7532399,9635,0.279,0.122,0.466,-0.258,-0.055,.,0.059,-0.217,-0.158,-0.129,-0.26,-0.185,-0.191,-0.159,2,2,2,1,1,0,2,1,1,1,1,1,1,1
2014,1203975,Southeast,FL,Bay Harbor Islands_FL,Bay Harbor Islands,25.8875948,-80.1311564,5847,-0.187,-0.019,0.447,0.674,-0.078,-2.144,-0.442,0.957,-0.158,-0.129,-0.26,-0.185,-0.123,-0.271,1,1,2,3,1,1,1,3,1,1,1,1,1,1
2014,1204162,Southeast,FL,Bayonet Point_FL,Bayonet Point,28.3266726,-82.6834337,24412,1.55,0.807,0.235,-0.469,0.394,-0.43,1.441,-0.476,-0.158,-0.129,-0.26,-0.185,-0.221,-0.036,4,3,2,1,2,1,4,1,1,1,1,1,1,1
2014,1204200,Southeast,FL,Bay Pines_FL,Bay Pines,27.8141921,-82.7781574,3061,0.738,0.653,-0.381,-0.971,-0.315,-0.7,0.627,-0.382,-0.158,-0.129,-0.26,-0.185,-0.148,-0.218,3,3,1,1,1,1,3,1,1,1,1,1,1,1
2014,1204250,Southeast,FL,Bayport_FL,Bayport,28.5458279,-82.6420452,352,-0.023,.,-1.134,0.143,-1.56,.,-0.757,.,-0.154,-0.121,1.473,14.542,-0.139,-0.267,1,0,1,2,1,0,1,0,1,1,4,4,1,1
2014,1204350,Southeast,FL,Bayshore Gardens_FL,Bayshore Gardens,27.4253195,-82.5903757,17899,0.708,1.313,0.585,0.102,0.458,-1.382,0.963,-0.318,-0.158,-0.129,-0.26,-0.185,-0.209,-0.145,3,4,3,2,2,1,3,1,1,1,1,1,1,1
2014,1204650,Southeast,FL,Beacon Square_FL,Beacon Square,28.2112135,-82.7506845,6645,1.235,0.809,0.91,-0.188,0.513,-0.112,1.031,-0.529,-0.158,-0.129,-0.26,-0.185,-0.093,-0.154,4,3,3,1,3,1,4,1,1,1,1,1,1,1
2014,1204735,Southeast,FL,Bear Creek_FL,Bear Creek,27.7560257,-82.7271464,1757,0.488,0.348,0.887,-0.809,0.011,.,0.526,-0.128,-0.158,-0.129,-0.26,-0.185,-0.181,-0.275,2,2,3,1,2,0,3,1,1,1,1,1,1,1
2014,1204925,Southeast,FL,Bee Ridge_FL,Bee Ridge,27.2843,-82.473077,9796,0.876,0.041,-0.477,-0.761,-0.502,-0.441,1.121,-0.229,-0.158,-0.129,-0.26,-0.185,-0.221,-0.306,3,2,1,1,1,1,4,1,1,1,1,1,1,1
2014,1205075,Southeast,FL,Belleair_FL,Belleair,27.9358543,-82.8062139,3903,0.794,-0.45,-0.769,-0.587,-0.544,-0.244,0.869,-0.022,-0.151,-0.128,-0.26,-0.185,-0.186,-0.291,3,1,1,1,1,1,3,1,1,1,1,1,1,1
2014,1205100,Southeast,FL,Belleair Beach_FL,Belleair Beach,27.9230767,-82.8431594,1705,1.46,-1.594,-0.696,-0.787,-0.826,2.588,1.411,0.474,-0.158,-0.129,-0.26,-0.185,-0.101,-0.264,4,1,1,1,1,4,4,2,1,1,1,1,1,1
2014,1205125,Southeast,FL,Belleair Bluffs_FL,Belleair Bluffs,27.9214103,-82.8170475,2098,1.438,0.559,0.106,-0.786,0.042,-0.904,1.27,-0.13,-0.158,-0.129,1.623,2.441,-0.214,-0.306,4,3,2,1,2,1,4,1,1,1,4,4,1,1
2014,1205150,Southeast,FL,Belleair Shore_FL,Belleair Shore,27.916688,-82.8453817,61,2.189,.,-1.134,-1.326,-1.056,.,2.142,.,-0.158,-0.129,-0.26,-0.185,-0.214,-0.304,4,0,1,1,1,0,4,0,1,1,1,1,1,1
2014,1205200,Southeast,FL,Belle Glade_FL,Belle Glade,26.6845104,-80.6675577,17785,0.071,1.109,1.982,2.148,2.025,-0.772,-0.326,-0.57,-0.158,-0.129,-0.26,-0.185,-0.221,0.025,2,4,4,4,4,1,1,1,1,1,1,1,1,2
2014,1205462,Southeast,FL,Bellview_FL,Bellview,30.4615858,-87.3149742,22759,-0.119,0.502,-0.132,0.096,-0.021,-0.789,0.102,-0.642,-0.158,-0.129,-0.26,-0.185,-0.177,-0.242,1,3,1,2,1,1,2,1,1,1,1,1,1,1
2014,1205825,Southeast,FL,Berrydale_FL,Berrydale,30.890253,-87.0367323,326,1.913,.,-1.134,-0.722,-0.155,.,2.01,-0.962,-0.158,-0.129,-0.26,-0.185,-0.221,.,4,0,1,1,1,0,4,1,1,1,1,1,1,0
2014,1206100,Southeast,FL,Beverly Beach_FL,Beverly Beach,29.5146969,-81.1445045,377,3.066,1.991,-0.765,-1.444,-0.416,-1.217,3.503,-0.8,-0.158,-0.129,-0.26,-0.185,-0.192,-0.287,4,4,1,1,1,1,4,1,1,1,1,1,1,1
2014,1206125,Southeast,FL,Beverly Hills_FL,Beverly Hills,28.9169245,-82.4581536,8518,1.742,0.86,1.144,-0.297,1.004,-0.399,1.502,-0.948,-0.158,-0.129,-0.26,-0.185,-0.221,.,4,3,4,1,4,1,4,1,1,1,1,1,1,0
2014,1206350,Southeast,FL,Big Coppitt Key_FL,Big Coppitt Key,24.5965343,-81.6600883,2397,-0.197,0.685,-0.09,0.093,-0.303,0.461,-0.427,-1.258,-0.158,-0.129,-0.26,-0.185,0.043,-0.185,1,3,1,2,1,2,1,1,1,1,1,1,2,1
2014,1206425,Southeast,FL,Big Pine Key_FL,Big Pine Key,24.6698652,-81.353969,4511,0.015,0.241,-0.314,-0.785,-0.476,1.056,0.143,-1.099,0.911,0.244,0.515,0.277,1.529,0.665,2,2,1,1,1,4,2,1,3,2,3,2,4,3
2014,1206600,Southeast,FL,Biscayne Park_FL,Biscayne Park,25.8825951,-80.1806025,3172,-0.575,-0.268,-0.616,1.154,-0.811,1.904,-0.712,0.375,-0.158,-0.129,-0.26,-0.185,-0.182,-0.279,1,1,1,4,1,4,1,2,1,1,1,1,1,1
