FID,Shape,FID_tl_201,FID_tl_202,REGION10,DIVISION10,STATEFP10,STATENS10,GEOID10,STUSPS10,NAME10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,FID_states,FID_stat_1,NAME,STATE_ABBR,STATE_FIPS,ORDER_ADM,MONTH_ADM,DAY_ADM,YEAR_ADM,TYPE,POP,SQ_MILES,PRIM_MILES,FID_Coasta,fips,cntyname,st_fips,landarea,landwatr,st_abbr,ctystate,st_name,FID_ACS_20,STATEFP,PLACEFP,PLACENS,GEOID,NAME_1,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,Shape_Leng,Shape_Area
0,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4247,12,33800,2405888,1233800,Inglis,Inglis town,43,C1,N,N,G4110,A,9437796,38161,29.0329941,-82.6590795,16000US1233800,0.000372,0
1,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4298,12,15775,2404164,1215775,Crystal River,Crystal River city,25,C1,N,N,G4110,A,19186900,1671420,28.90356,-82.6118425,16000US1215775,0.683545,0.001929
2,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4420,12,18675,2403519,1218675,Dunnellon,Dunnellon city,25,C1,N,N,G4110,A,16144413,764382,29.0554919,-82.4399184,16000US1218675,0.055857,0.000004
3,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4471,12,33950,2404763,1233950,Inverness,Inverness city,25,C1,N,N,G4110,A,19684624,235061,28.8404678,-82.3436554,16000US1233950,0.413649,0.001842
4,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4561,12,6125,2402686,1206125,Beverly Hills,Beverly Hills CDP,57,U1,N,N,G4210,S,7689796,0,28.9175439,-82.4541262,16000US1206125,0.134943,0.000711
5,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4565,12,6667,2402691,1206667,Black Diamond,Black Diamond CDP,57,U1,N,N,G4210,S,10211219,0,28.9067121,-82.4946163,16000US1206667,0.173997,0.000945
6,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4597,12,12412,2402775,1212412,Citrus Hills,Citrus Hills CDP,57,U1,N,N,G4210,S,25111348,11343,28.8868293,-82.4307488,16000US1212412,0.453899,0.002324
7,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4599,12,12450,2402777,1212450,Citrus Springs,Citrus Springs CDP,57,U1,N,N,G4210,S,54768732,0,28.9931664,-82.4594864,16000US1212450,0.530198,0.005071
8,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4655,12,22775,2402488,1222775,Floral City,Floral City CDP,57,U1,N,N,G4210,S,60377805,4387441,28.7066803,-82.3067259,16000US1222775,0.455329,0.00598
9,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4702,12,29425,2402580,1229425,Hernando,Hernando CDP,57,U1,N,N,G4210,S,82135630,9914153,28.9545288,-82.393459,16000US1229425,0.701195,0.008519
10,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4714,12,32375,2402598,1232375,Homosassa,Homosassa CDP,57,U1,N,N,G4210,S,20231013,1353898,28.7848667,-82.6076042,16000US1232375,0.298645,0.001987
11,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4715,12,32400,2402599,1232400,Homosassa Springs,Homosassa Springs CDP,57,U1,Y,N,G4210,S,65160623,26003,28.8092993,-82.5407959,16000US1232400,0.405986,0.006025
12,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4724,12,33958,2402617,1233958,Inverness Highlands North,Inverness Highlands North CDP,57,U2,N,N,G4210,S,4889607,157166,28.8645049,-82.3769594,16000US1233958,0.1057,0.000467
13,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4725,12,33966,2402618,1233966,Inverness Highlands South,Inverness Highlands South CDP,57,U2,N,N,G4210,S,14527365,11673,28.8006889,-82.3371819,16000US1233966,0.210418,0.001344
14,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4768,12,39825,2403224,1239825,Lecanto,Lecanto CDP,57,U1,N,N,G4210,S,69757165,18978,28.8227425,-82.500737,16000US1239825,0.646443,0.006451
15,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4868,12,57058,2403417,1257058,Pine Ridge,Pine Ridge CDP,57,U1,N,N,G4210,S,64352522,0,28.9329964,-82.4761841,16000US1257058,0.812508,0.005955
16,Polygon,1,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,82,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,268,12017,Citrus County,12,1506586255,496236304,FL,Citrus_FL,Florida,4946,12,68950,2402899,1268950,Sugarmill Woods,Sugarmill Woods CDP,57,U1,N,N,G4210,S,68801135,1680,28.7358606,-82.4935091,16000US1268950,0.321823,0.006355
17,Polygon,2,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,83,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,269,12009,Brevard County,12,2630557912,1402040884,FL,Brevard_FL,Florida,4121,12,44075,2406143,1244075,Melbourne Village,Melbourne Village town,43,C1,N,N,G4110,A,1513685,0,28.0879281,-80.6650567,16000US1244075,0.058948,0.000139
18,Polygon,2,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,83,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,269,12009,Brevard County,12,2630557912,1402040884,FL,Brevard_FL,Florida,4122,12,54425,2407069,1254425,Palm Shores,Palm Shores town,43,C1,N,N,G4110,A,1480200,0,28.1921518,-80.6596081,16000US1254425,0.13947,0.000135
19,Polygon,2,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,83,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,269,12009,Brevard County,12,2630557912,1402040884,FL,Brevard_FL,Florida,4123,12,64400,2405426,1264400,Satellite Beach,Satellite Beach city,25,C1,N,N,G4110,A,7558647,3550440,28.1787326,-80.5994021,16000US1264400,0.14858,0.000738
20,Polygon,2,0,3,5,12,294478,12,FL,Florida,0,G4000,A,1.39E+11,31424168203,28.4574302,-82.4091478,83,27,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,269,12009,Brevard County,12,2630557912,1402040884,FL,Brevard_FL,Florida,4124,12,71900,2405592,1271900,Titusville,Titusville city,25,C1,Y,N,G4110,A,75982383,12648484,28.573368,-80.8194043,16000US1271900,1.256342,0.007081
