site,model,total_biomass_kg,fished_biomass_kg,SG_biomass_kg,herbi_biomass_kg,marinelife_biomass_kg,parrotfish_biomass_kg,large_parrotfish_biomass_kg,yt_snapper_biomass_kg,hogfish_biomass_kg,gray_snapper_biomass_kg,lionfish_biomass_kg,stoplightPF_biomass_kg,midnightPF_biomass_kg,bluePF_biomass_kg,rainbowPF_biomass_kg,parrot_surgeon_biomass_kg,small_scarus_biomass_kg,small_sparisoma_biomass_kg,SG_length_cm,snappers_length_cm,groupers_length_cm,groupers_sans_goliath_length_cm,parrotfish_length_cm,yt_snapper_length_cm,YEAR,MONTH,LAT_DEGREES,LON_DEGREES,DEPTH,REGION,PCT_CORAL,MAX_HARD_RELIEF,sst,npp_RZ,wave_exposure,CLASSLV0,CLASSLV2,areareef_20km,areareef_200km,bathy_Sbrocco,distance_to_deepwater,distance_to_FSA,slips45_10km,slips45_25km,NoTake,lspop_20km,lspop_50km,rec_fishermen_50km,tourist_fishing,artificial_reefs_1km,SG_50km,SC_25km,Fcmty_FID,Grav_tot_intercept,Grav_tot_closest,Farea_code,Keys_Divisions,FKNMS,DryTortugas,BNP,CoralECA,nursery_seagrass,nursery_mangroves,no_reef_cells_connectivity,connectivity_id
4733520_128U,biomass,253.4122868,100.7210126,99.97821569,104.0569402,131.4573277,55.36175566,37.26877092,,24.58141936,,,37.26877092,,,,103.6049362,,18.09298474,21.83333333,43,24,24,24,,2005,8,24.4464334,-81.9628999,9.8,FLA KEYS,2,0.55032175,296.7453918,550.8650513,6.992729187,Coral Reef and Hardbottom,Aggregate Reef,88333,1040643,-10,1182.842773,3621.320313,,391,Open,4163,41070,7446,1.64903383,,54,,96,69,69,2,Marquesas,FKNMS,,,,6483631,199409.3125,2451,46
4778559_456U,biomass,17.52912818,16.90026333,16.90026333,0.02574161,0.071470488,,,,10.54521328,,,,,,,0.009152542,,,22.75,28,,,,,2005,6,24.51537627,-81.93907904,3.7,FLA KEYS,2.5066313,0.125331565,296.3030701,1068.65979,6.634815693,Coral Reef and Hardbottom,Pavement with Seagrass,110381,1051350,-5,9200,4055.63501,,723,Open,29062,42257,7898,,,70,126,96,80,80,2,Marquesas,FKNMS,,,,55765428,1506252.5,,
4816025_131U,biomass,230.3678683,122.0900463,121.7558865,4.980231296,102.4779922,1.485876864,,24.15155206,19.05307172,,,,,,,3.858656373,0.820723552,0.665153312,18.05263158,14.91666667,33.33333333,33.33333333,,14.91666667,2005,8,24.4547,-81.9190499,10.2475032,FLA KEYS,5,0.850832266,296.7194519,587.0842896,6.894626141,Seagrass,Seagrass (Discontinuous),93943,1049575,-7,2082.842773,2572.792236,,723,Open,22228,41833,7865,,,70,126,96,69,69,2,Marquesas,FKNMS,,,,13067485,295832.875,2451,46
4823528_132U,biomass,2274.709593,2059.616377,577.3119704,96.21709304,226.7851088,45.96758826,24.37388085,85.80793684,37.63642442,165.6842803,,4.239808791,20.13407206,,,95.53818688,2.939767878,18.65393953,13.95847902,19.50520833,27.33333333,27.33333333,15.32758621,15.91554054,2005,8,24.4599333,-81.91425,8.98907767,FLA KEYS,5,1.5,296.6940613,614.088623,6.904021263,Unconsolidated Sediment,Scattered Coral/Rock in Unconsolidated Sediment,97809,1050627,-8,2600,3379.898926,,723,Open,24940,42254,7898,,,70,126,96,69,69,2,Marquesas,FKNMS,,,,15633994,344731.25,2451,46
4853536_129U,impact,503.2595708,359.280127,226.0212871,28.88705161,136.0141999,24.71468859,9.259784751,12.33577696,7.419637993,4.51343837,,0.874306913,,,8.385477838,27.91005885,13.10018326,2.354720581,16.64975845,14.35714286,35.66666667,35.66666667,12.9893617,13.24193548,2005,8,24.4742833,-81.8988833,8.854916986,FLA KEYS,11.5210728,2.509833972,296.6136475,691.4973145,6.942807674,Seagrass,Seagrass (Discontinuous),106994,1052887,-10,4200,5531.371094,,723,Open,34835,42833,8053,,,70,126,96,80,80,2,Marquesas,FKNMS,,,,25898130,528548.5625,2451,46
4861040_130U,impact,87.02620508,61.16216498,61.16216498,13.56457691,22.47778541,2.685199178,,4.652095928,2.58804192,,,,,,,13.40603405,,2.685199178,17.75,16,19.33333333,19.33333333,13,16,2005,8,24.4821167,-81.8953833,4.450594452,FLA KEYS,1.498018494,0.750594452,296.5709534,728.4295654,6.537757397,Seagrass,Seagrass (Discontinuous),109345,1053824,-7,4904.163086,5600,,723,Open,36101,42976,8080,,,70,126,96,80,80,2,Marquesas,FKNMS,,,,30171056,608589.6875,2451,46
4966028_487U,impact,172.7324286,120.0028001,98.06533035,14.45281248,68.25836999,6.114419096,,19.1452449,0.873040855,,,,,,,13.11216147,1.823644758,4.290774338,18.16216216,19.125,,,15,19.125,2005,6,24.4611303,-81.84009889,8.821212121,FLA KEYS,6.181818182,1.886363636,296.7282715,577.4319458,6.950750828,Coral Reef and Hardbottom,Spur and Groove,91742,1057990,-6,1048.528198,7731.371094,,733,Open,37045,43641,8378,1.67589371,,70,126,96,74,74,1,Marquesas,FKNMS,,,,11501368,21234.26563,1472,44
4977285_471U,biomass,203.7942151,155.1206793,56.05498412,11.88386644,140.7684302,0.889636032,,6.676244089,13.02413465,,,,,,,11.68669405,,0.770509169,25.6,30,30.33333333,30.33333333,,30,2005,6,24.47366043,-81.8343383,6.252200489,FLA KEYS,3.216992665,0.674633252,296.6560669,624.7582397,6.888679028,Seagrass,Seagrass (Discontinuous),97332,1059237,-7,2200,7048.52832,0,733,Open,37170,44078,8525,,,70,126,96,126,126,1,Marquesas,FKNMS,,,,14673653,51906.73438,1472,44
4981032_102U,biomass,350.4274316,250.8988427,117.5720338,76.67540154,92.84577107,62.16810173,55.76662641,107.4231862,0.459428369,,,55.76662641,,,,68.69801212,2.390356914,4.011118406,18.89655172,18.67857143,,,16.91666667,18.67857143,2005,7,24.46725,-81.8323666,17.39923858,FLA KEYS,7.506345178,0.749873096,296.701355,595.3202515,6.950180531,Coral Reef and Hardbottom,Pavement,94607,1058988,-7,1441.421387,6641.421387,0,733,Open,37170,44078,8548,1.676707646,,70,126,96,126,126,1,Marquesas,FKNMS,,,,12102752,13956.82617,1472,44
4999782_141U,impact,970.0901662,951.1010773,58.06908319,0.806304521,6.422481487,0.386500249,,,19.9982433,,,,,,,0.522442086,,0.386500249,26,,30,30,,,2005,8,24.4687667,-81.8221666,9.2,FLA KEYS,10,0.4,296.7064514,590.4435425,6.959806919,Coral Reef and Hardbottom,Pavement,96139,1060134,-7,1341.421387,5641.421387,0,733,Open,37198,44369,8603,1.696852556,,70,126,96,126,126,1,Marquesas,FKNMS,,,,11003196,14876.60742,1472,44
