Year,Area Description,Species,Pounds,Trips,Average Price,Estimated Value
2012,APALACHEE BAY,AMBERJACKS,22085,52,1.1,24229
2012,APALACHEE BAY,GROUPER_BLACK,32,1,3.81,122
2012,APALACHEE BAY,GROUPER_GAG,138042,626,4.07,561451
2012,APALACHEE BAY,GROUPER_OTHER,1270,27,2.7,3430
2012,APALACHEE BAY,GROUPER_RED,801299,730,2.79,2237973
2012,APALACHEE BAY,GROUPER_SCAMP,23189,290,4.05,93945
2012,APALACHEE BAY,GROUPER_SNOWY,21069,26,3.26,68728
2012,APALACHEE BAY,GROUPER_WARSAW,1340,7,2.55,3414
2012,APALACHEE BAY,GROUPER_YELLOWEDGE,55443,26,4.2,232786
2012,APALACHEE BAY,GROUPER_YELLOWFIN,21,1,4.24,90
2012,APALACHEE BAY,GRUNTS,450675,1474,0.9,406803
2012,APALACHEE BAY,HOGFISH,2758,17,3.36,9253
2012,APALACHEE BAY,PORGIES,63744,388,1.16,73669
2012,APALACHEE BAY,SEA BASS_MIXED,740198,1702,1.07,794283
2012,APALACHEE BAY,SNAPPER_GREY (MANGROVE),15814,478,2.44,38648
2012,APALACHEE BAY,SNAPPER_LANE,13761,372,1.94,26741
2012,APALACHEE BAY,SNAPPER_MUTTON,2572,4,2.15,5525
2012,APALACHEE BAY,SNAPPER_OTHER,1056,11,3.11,3280
2012,APALACHEE BAY,SNAPPER_RED,205764,593,3.84,790962
2012,APALACHEE BAY,SNAPPER_SILK,4,1,1.8,8
2012,APALACHEE BAY,SNAPPER_VERMILION,159201,407,2.32,368943
2012,APALACHEE BAY,TILEFISH (GOLDEN),18372,18,2.74,50308
2012,APALACHEE BAY,TILEFISH_BLUELINE (GRAY),688,4,1.32,911
2012,APALACHEE BAY,TRIGGERFISH,6918,185,1.35,9315
2012,CAPE CANAVERAL,AMBERJACKS,134598,274,1.03,138780
2012,CAPE CANAVERAL,GROUPER_BLACK,284,14,4.29,1215
2012,CAPE CANAVERAL,GROUPER_GAG,28935,231,4.11,118980
2012,CAPE CANAVERAL,GROUPER_RED,877,44,3.9,3419
2012,CAPE CANAVERAL,GROUPER_SCAMP,760,43,3.95,3003
2012,CAPE CANAVERAL,GROUPER_SNOWY,9976,102,4.15,41409
2012,CAPE CANAVERAL,GROUPER_YELLOWEDGE,260,12,4.28,1111
2012,CAPE CANAVERAL,GRUNTS,486,62,0.87,424
2012,CAPE CANAVERAL,HOGFISH,78,5,4.25,331
2012,CAPE CANAVERAL,PORGIES,2752,18,0.47,1300
2012,CAPE CANAVERAL,SEA BASS_MIXED,17906,73,1.71,30691
2012,CAPE CANAVERAL,SNAPPER_GREY (MANGROVE),8522,127,3.38,28835
2012,CAPE CANAVERAL,SNAPPER_LANE,16,6,3.32,54
2012,CAPE CANAVERAL,SNAPPER_MUTTON,87,7,3.97,344
2012,CAPE CANAVERAL,SNAPPER_OTHER,249,6,1.65,410
2012,CAPE CANAVERAL,SNAPPER_RED,1426,33,4.37,6237
2012,CAPE CANAVERAL,SNAPPER_VERMILION,181,10,3,542
2012,CAPE CANAVERAL,SNAPPER_YELLOWTAIL,218,3,3.38,736
2012,CAPE CANAVERAL,TILEFISH (GOLDEN),136557,151,2.7,368242
2012,CAPE CANAVERAL,TILEFISH_BLUELINE (GRAY),103,10,3.14,324
2012,CAPE CANAVERAL,TRIGGERFISH,3629,133,2.43,8822
2012,CRYSTAL RIVER-TARPON SPRINGS,AMBERJACKS,17217,71,1.24,21314
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_BLACK,793,12,3.92,3107
