pointid,Depth,NPP,Wave_exposure,Recreational_fishermen_50km,Coral_area_UFRTM_20km,Deepwater,Marina_slips_25km,SST,Nursery_mangroves,SG_permits_50km,FSA,Total_gravity
1,-6.4000001,1093.919678,7.5035195,26237,13452,15041.4209,637,295.4899597,424167.25,28,32473.00195,562
2,-6.4000001,1091.33667,7.503768,26237,13494,15000,551,295.5038452,436737.4375,28,32231.58008,562
3,-8,1087.757935,7.5041208,26237,13662,14900,551,295.5252075,459755.75,28,31890.1582,562
4,-6,1086.707275,7.5042014,26237,13704,14900,551,295.5320435,466673.9375,28,31790.1582,562
5,-6,1086.332886,7.5042038,26237,13767,14800,551,295.5334778,470259.5625,28,31748.73828,562
6,-6,1085.295532,7.5042162,26237,13788,14800,551,295.5404358,477407.625,28,31648.73828,562
7,-6,1080.532715,7.5042338,26998,14061,14600,551,295.5726929,513855.8438,28,31165.89453,562
8,-6,1080.231812,7.5042524,26998,14103,14500,551,295.5765076,517298.5313,28,31124.47266,562
9,-6,1079.519287,7.5042567,26998,14103,14641.4209,551,295.5797424,523330.9063,28,31065.89453,562
10,-6,1079.232544,7.5042596,26998,14124,14541.4209,551,295.5834045,526897.5625,28,31024.47266,562
11,-6,1078.946655,7.5043855,26998,14145,14441.4209,551,295.5870972,529821.5,28,30983.05273,562
12,-6,1078.2323,7.5042644,26998,14145,14582.84277,551,295.590332,537189.1875,28,30924.47266,562
13,-6,1077.960571,7.5044136,26998,14145,14482.84277,551,295.5939331,540040.3125,28,30883.05273,562
14,-6,1076.973633,7.5044322,26998,14166,14500,551,295.6007385,549632,28,30783.05273,562
15,-5.4285712,1075.743408,7.505033,26998,14187,14400,551,295.6109314,554863.3125,28,30641.63086,562
16,-5.4285712,1074.768921,7.5057478,26998,14187,14400,551,295.6176453,559319.0625,32,30541.63086,562
17,-5.4285712,1072.618164,7.5069346,28048,14250,14341.4209,551,295.6341248,569026.4375,32,30300.20898,562
18,-5.4285712,1072.4198,7.5068579,28048,14250,14241.4209,551,295.637146,570413.125,32,30258.78711,562
19,-5.4285712,1071.471069,7.5068541,28048,14271,14282.84277,551,295.6436768,576017.8125,32,30158.78711,562
20,-5.4285712,1070.691284,7.5068545,28048,14271,14400,551,295.6474304,580086.625,32,30100.20898,562
21,-5.4285712,1070.521362,7.506824,28048,14292,14300,551,295.6502075,581913.25,32,30058.78711,562
22,-8,1069.415894,7.506824,28048,14313,14200,551,295.6594238,590417,32,29917.36719,562
23,-8,1068.478638,7.506824,28048,14313,14200,551,295.665863,597260.75,32,29817.36719,562
24,-8,1067.414795,7.506824,28048,14313,14100,551,295.6747437,607996.3125,32,29675.94531,562
25,-6,1066.489868,7.506824,28048,14313,14141.4209,551,295.6810913,617689.6875,32,29575.94531,562
26,-6,1065.467651,7.506824,28048,14313,14082.84277,551,295.6896362,633006.1875,32,29434.52344,562
27,-6,1064.555176,7.506824,28048,14313,14100,551,295.6958923,644152.3125,32,29334.52344,562
28,-6,1063.574585,7.5048475,28740,14313,14000,551,295.7041321,661598.75,32,29193.10156,562
29,-6,1062.674439,7.4996142,28740,14313,14000,551,295.7102661,674293.8125,32,29093.10156,562
30,-23,680.0078125,7.5706244,28468,17565,1200,543,296.4448242,378233.8125,32,23791.16797,562
31,-6,1061.735474,7.4865212,28740,14313,13900,551,295.7182007,692476,32,28951.68164,562
32,-6,1060.847778,7.4772043,28740,14313,13900,551,295.7242432,705507.375,32,28851.68164,562
33,-23,676.9117432,7.5713773,28424,17922,1100,543,296.4638062,367236.7813,32,23449.74805,562
34,-6,1059.075073,7.4685225,28740,14322,13800,551,295.737793,736650.625,32,28610.25977,562
35,-23,677.0878906,7.5719743,28424,18027,1100,543,296.467041,367292.2813,32,23349.74805,562
36,-5.2857141,1058.219238,7.4635758,28740,14343,13700,551,295.7450867,754699.25,32,28468.83789,562
37,-23,677.2640381,7.5725713,28424,18174,1100,543,296.4702759,367278.9375,32,23249.74805,562
38,-23,673.8184204,7.5735445,28424,18321,1000,543,296.4835815,354863.9375,32,23108.32617,562
39,-23,673.9949951,7.5741329,28424,18426,1000,543,296.486908,354579.8438,32,23008.32617,562
40,-23,674.1715698,7.5747223,28784,18531,1000,543,296.4902649,354221.6563,32,22908.32617,562
41,-23,674.3480835,7.5753121,28784,18615,1000,543,296.4935913,353788,32,22808.32617,562
42,-27,670.7279053,7.5756574,28784,18636,900,543,296.5040894,341084.0938,32,22766.9043,562
43,-27,670.9049072,7.5762377,28784,18678,941.4213867,543,296.5075684,340447.5938,32,22666.9043,562
