site,impact
4733520_128U,0.205
4778559_456U,
4816025_131U,
4823528_132U,
4853536_129U,
4861040_130U,
4966028_487U,0.382
4977285_471U,
4981032_102U,
4999782_141U,
5026033_475U,
5067281_105U,0.382
5157285_104U,
5168534_472U,
5183549_111U,
5187287_495U,0.382
5194788_112U,
5224797_103U,
5224799_107U,0.382
5224828_478U,
5228543_500U,
5228578_479U,
5292294_494U,0.382
5292333_457U,
5326047_138U,0.382
5337297_137U,0.382
5337315_136U,0.382
5371071_139U,0.382
5374813_140U,
5393570_142U,0.382
5431072_144U,
5453580_148U,
5457301_143U,0.382
5491055_467U,0.374
5528557_629U,0.184
5532305_632U,0.184
5667334_149U,
5944836_625U,0.1
6012341_460U,
6019842_461U,
6199856_623U,
6222358_426U,
6346120_437U,
6522406_419U,
6586139_427U,
6623659_420U,0.262
6736158_429U,
7081198_432U,
7246232_126U,
7272491_436U,0.382
7287493_438U,
7313753_425U,
7324997_430U,
7324998_430H,
7332509_108U,
7366254_123U,
7366262_620U,
7377506_124U,
7388764_277U,0.489
7452525_424U,
7460025_619U,
7505034_617U,
7561290_615U,
7591302_445U,
7613816_341U,
7621307_381H,
7621307_381U,
7670065_382U,
7718844_343U,0.468
7737620_328U,
7741329_411U,
7752585_404U,0.473
7756332_400U,
7775093_368U,
7805096_409U,
7805103_339U,
7827651_329U,0.39
7835194_325U,
7850118_369U,
7853873_388U,
7895146_347U,
7898886_371U,
7917655_348U,0.358
7928891_383U,
7936452_332U,
7943959_333U,
7951430_361U,
7966403_384U,
7966406_397U,
7966459_154U,
7970174_373U,0.348
7996481_334U,
8000181_363U,
8007734_335U,
8018935_358U,
8018942_402U,
8026453_364U,
8026491_336U,
8030193_403U,
8030250_338U,
8033949_405U,
8037707_365U,
8037714_366U,
8037715_367U,
8037739_392U,
8045212_349U,0.31
8052698_395U,0.344
8056449_153U,
8056461_374U,
8067704_408U,
8067708_379U,0.31
8071509_304U,
8075240_350U,
8097733_375U,
8105260_159U,
8109020_160U,
8127732_386U,0.17
8131539_306U,
8135245_155U,
8139018_157U,
8146492_320U,
8157754_158U,
8157823_176U,
8165328_308U,
8165336_309U,
8172805_307U,
8176594_310U,
8180274_319U,
8180284_311U,
8187784_315U,0.497
8187830_166U,
8191567_172U,
8191616_171U,
8195332_165U,
8202846_314U,
8210311_316U,
8214096_324U,
8221607_170U,0.534
8229110_173U,
8236591_175U,0.504
8251601_164U,
8255414_323U,
8270402_507U,
2794905_049U,
2798656_051U,
2798667_085H,
2798667_085U,
2802361_210U,
2802404_050U,
2806113_211U,
2806180_082U,
2817364_212U,0
2824865_213U,0
2832367_215U,
2832383_200U,0
2836117_214U,0
2839867_216U,
2839882_201U,
2847364_217U,0
2847367_219U,
2851092_245U,0
2851093_247U,0
2854831_102U,
2854843_246U,0
2858639_199U,0
2862330_101U,
2862369_220U,0
2862390_197U,0
2869890_198U,0
2873633_202U,0
2877393_065U,0
2881141_196U,0
2884836_103U,0
2884837_105U,0
2884882_203U,0
2888585_107U,
2888586_106U,0
2888629_206U,
2888643_066U,0
2892380_205U,
2896144_193U,0
2896146_191U,0
2896158_069U,
2899867_221U,0
2899867_223U,0
2899893_195U,0
2903645_194U,0
2907381_241U,0
2911131_240U,0
2911132_242U,0
2911132_243U,0
2914872_224U,
2922401_184U,
2926165_183U,0
2929898_185U,0
2929906_071U,0
2933661_070U,0
2937401_187U,
2937416_181U,0
2941167_182U,0
2944900_188U,
2952379_166U,
2956149_190U,0
2959876_168U,0
2959902_186U,0
2959921_074U,0
2963605_226U,0
2974852_227U,0
2974902_237U,
2974905_239U,0
2982354_228U,0
2982402_238U,0
2982417_180U,0
2986174_176U,0
2993676_175U,0
3001169_178U,0
3004911_236U,0
3004927_173U,0
3008669_179U,0
3008676_174H,0
3008676_174U,0
3012368_170U,0
3016164_234U,0
3042426_044U,0
3049928_043U,0
3061140_229U,
3068660_233U,
3072410_233H,
3079876_033U,
3079927_046U,0
3079928_042U,0
3083630_032U,
3087373_027U,0
3087383_031U,0
3094873_026U,0
3098629_028U,0
3102381_029U,0
